station_code,station_name,agency,subzone_kml,subzone_name,region_name,region_num
NS10,ADMIRALTY,MRT,270,WOODLANDS EAST,NORTH REGION,2
NS11,SEMBAWANG,MRT,271,SEMBAWANG CENTRAL,NORTH REGION,2
NS12,CANBERRA,MRT,323,SEMBAWANG SPRINGS,NORTH REGION,2
NS13,YISHUN,MRT,316,YISHUN WEST,NORTH REGION,2
NS14,KHATIB,MRT,265,KHATIB,NORTH REGION,2
NS15,YIO CHU KANG,MRT,252,YIO CHU KANG,NORTH-EAST REGION,3
NS16,ANG MO KIO,MRT,163,CHONG BOON,NORTH-EAST REGION,3
NS16,ANG MO KIO,MRT,170,CHENG SAN,NORTH-EAST REGION,3
NS16,ANG MO KIO,MRT,330,TOWNSVILLE,NORTH-EAST REGION,3
NS16,ANG MO KIO,MRT,110,ANG MO KIO TOWN CENTRE,NORTH-EAST REGION,3
NS17,BISHAN,MRT,178,BISHAN EAST,CENTRAL REGION,0
NS18,BRADDELL,MRT,210,TOA PAYOH WEST,CENTRAL REGION,0
NS18,BRADDELL,MRT,205,BRADDELL,CENTRAL REGION,0
NS19,TOA PAYOH,MRT,96,TOA PAYOH CENTRAL,CENTRAL REGION,0
NS2,BUKIT BATOK,MRT,200,BUKIT BATOK CENTRAL,WEST REGION,4
NS20,NOVENA,MRT,140,MOULMEIN,CENTRAL REGION,0
NS21,NEWTON,MRT,108,NEWTON CIRCUS,CENTRAL REGION,0
NS22,ORCHARD,MRT,49,PATERSON,CENTRAL REGION,0
NS22,ORCHARD,MRT,73,BOULEVARD,CENTRAL REGION,0
NS23,SOMERSET,MRT,79,SOMERSET,CENTRAL REGION,0
NS24,DHOBY GHAUT,MRT,92,DHOBY GHAUT,CENTRAL REGION,0
NS25,CITY HALL,MRT,88,CITY HALL,CENTRAL REGION,0
NS26,RAFFLES PLACE,MRT,5,RAFFLES PLACE,CENTRAL REGION,0
NS27,MARINA BAY,MRT,45,CENTRAL SUBZONE,CENTRAL REGION,0
NS27,MARINA BAY,MRT,34,STRAITS VIEW,CENTRAL REGION,0
NS28,MARINA SOUTH PIER,MRT,34,STRAITS VIEW,CENTRAL REGION,0
NS3,BUKIT GOMBAK,MRT,182,GUILIN,WEST REGION,4
